scorer,,,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender,Blender
bodyparts,,,1_snout,1_snout,2_ear_l_tip,2_ear_l_tip,3_ear_r_tip,3_ear_r_tip,4_upper_spine,4_upper_spine,5_middle_spine,5_middle_spine,6_lower_spine,6_lower_spine,7_elbow_l,7_elbow_l,8_wrist_l,8_wrist_l,9_fore_paw_l_tip,9_fore_paw_l_tip,10_elbow_r,10_elbow_r,11_wrist_r,11_wrist_r,12_fore_paw_r_tip,12_fore_paw_r_tip,13_knee_l,13_knee_l,14_ankle_l,14_ankle_l,15_hind_paw_l_tip,15_hind_paw_l_tip,16_knee_r,16_knee_r,17_ankle_r,17_ankle_r,18_hind_paw_r_tip,18_hind_paw_r_tip,19_tail_0,19_tail_0,20_tail_1,20_tail_1,21_tail_2,21_tail_2
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Blender,Frame1.png,332.65,346.67,373.29,337.31,342.72,306.21,350.13,329.26,380.26,303.21,401.01,288.69,372.33,329.97,359.75,333.29,355.96,340.54,351.78,304.4,354.8,306.59,346.51,310.86,400.74,309.33,420.97,290.92,414.15,312.01,382.05,284.42,402.52,268.46,379.96,268.1,423.08,273.5,449.98,251.61,503.92,230.04
labeled-data,Blender,Frame10.png,287.54,439.19,320.99,417.03,281.19,399.69,297.0,417.19,311.58,389.23,318.63,363.43,312.67,406.52,316.58,406.25,313.88,413.73,285.57,390.37,288.83,406.55,292.26,406.46,329.18,375.48,336.56,360.8,337.67,382.67,298.41,362.18,309.81,339.18,292.2,351.9,326.38,335.3,335.84,301.27,346.18,243.99
labeled-data,Blender,Frame100.png,271.88,356.93,290.12,319.64,246.8,323.63,269.4,332.46,257.31,300.89,244.78,278.86,278.67,313.39,269.22,306.38,272.67,313.92,248.49,321.66,252.29,328.66,257.15,327.24,259.51,277.0,261.05,270.58,277.09,286.28,230.7,293.12,224.87,269.2,221.28,290.96,228.02,256.96,197.01,238.62,143.02,211.91
labeled-data,Blender,Frame101.png,290.31,356.68,290.69,315.2,252.93,337.09,277.55,335.5,255.73,302.06,245.14,279.07,281.65,312.32,280.07,322.33,286.66,327.35,254.17,329.54,259.22,323.19,263.5,331.49,265.01,284.14,254.91,261.33,274.55,271.93,239.78,296.8,228.94,276.17,224.97,298.26,232.14,256.06,205.33,233.61,174.38,184.37
labeled-data,Blender,Frame102.png,260.08,361.81,278.75,327.55,235.13,329.38,258.19,338.07,251.96,302.71,244.53,278.98,273.57,318.35,267.35,311.13,272.26,317.79,248.91,323.02,263.61,321.37,267.57,329.82,268.5,275.76,251.94,255.67,272.21,265.02,235.38,295.52,226.81,269.46,223.79,291.74,231.34,256.02,202.52,237.14,148.53,214.87
labeled-data,Blender,Frame103.png,262.91,345.96,280.89,309.58,237.63,311.74,260.85,321.43,250.47,295.95,243.86,276.49,272.39,297.35,265.18,299.14,270.39,305.57,238.82,309.21,250.28,314.79,253.85,323.42,262.73,284.63,255.2,264.17,275.99,272.19,236.27,295.72,227.27,269.93,224.26,292.21,231.69,254.91,202.07,236.39,146.37,214.24
labeled-data,Blender,Frame104.png,265.47,340.62,280.69,311.92,237.65,319.88,260.85,321.43,247.96,294.33,243.01,275.55,271.97,298.11,264.78,299.36,270.31,305.5,238.55,309.92,247.86,314.65,251.14,323.39,264.88,275.7,260.11,275.87,277.78,289.4,229.5,293.5,233.1,281.73,236.0,304.08,233.07,258.16,200.51,245.96,141.87,241.71
labeled-data,Blender,Frame105.png,265.58,340.59,280.26,311.63,237.17,320.13,260.58,321.39,247.52,293.52,243.01,275.55,270.84,303.17,267.24,319.24,267.47,327.6,245.54,313.02,259.34,321.35,263.66,329.32,265.14,274.02,261.26,279.66,280.93,290.03,229.33,293.44,233.53,281.6,236.48,303.94,232.38,259.05,200.66,245.55,151.9,215.95
labeled-data,Blender,Frame106.png,266.63,319.66,273.43,281.22,231.64,298.79,258.23,302.81,239.18,276.23,242.77,275.21,274.08,299.16,278.37,317.46,282.93,319.06,242.85,306.32,245.3,321.48,249.31,327.78,269.57,277.79,260.5,279.41,281.03,287.95,236.27,300.86,229.44,279.69,235.36,301.46,235.28,265.47,202.68,250.02,147.62,223.21
labeled-data,Blender,Frame107.png,267.59,318.46,271.46,279.89,230.32,299.47,257.45,302.22,242.1,279.65,242.77,275.21,274.19,300.68,277.54,318.0,282.71,319.25,241.51,307.04,253.21,320.91,255.99,326.22,269.69,277.63,260.11,279.87,281.48,286.02,235.41,299.29,234.2,290.64,240.35,312.31,234.93,266.07,202.34,250.85,160.07,270.87
labeled-data,Blender,Frame108.png,300.14,336.98,279.34,301.09,257.85,338.74,278.45,325.11,258.78,299.58,244.78,278.86,276.14,301.7,279.31,316.73,287.16,318.75,256.07,321.12,250.87,330.28,253.4,336.74,264.76,280.74,250.0,257.35,272.21,256.79,231.47,289.2,222.37,260.81,219.24,282.31,225.62,260.55,189.39,256.59,133.68,230.96
labeled-data,Blender,Frame109.png,278.68,355.23,285.42,314.65,244.86,330.28,269.4,332.46,257.31,300.89,244.78,278.86,279.69,318.23,277.23,335.27,285.32,335.57,242.14,324.86,244.23,319.19,246.59,325.83,260.81,273.22,242.72,250.37,264.44,255.63,227.45,294.29,233.05,286.42,230.42,308.27,225.59,260.64,189.33,257.11,133.32,232.13
labeled-data,Blender,Frame11.png,299.95,449.77,322.26,417.02,278.75,414.92,300.52,425.74,309.6,388.31,318.68,363.29,320.3,413.09,315.78,422.83,316.59,430.75,287.84,404.22,292.0,412.99,286.44,420.26,332.29,377.91,336.97,349.01,342.52,370.11,302.44,371.3,308.57,346.9,290.35,359.69,330.56,337.35,349.06,307.26,392.46,268.27
labeled-data,Blender,Frame110.png,410.82,453.25,408.97,413.62,373.77,439.04,396.78,434.06,380.06,408.07,361.2,388.66,401.76,412.78,388.97,412.34,395.8,415.77,379.15,424.7,374.08,434.3,375.19,430.99,376.93,385.67,366.17,371.98,388.01,371.16,350.14,405.6,337.17,383.22,339.26,404.67,336.82,375.02,303.82,387.68,252.03,412.99
labeled-data,Blender,Frame111.png,427.17,446.56,408.02,412.61,386.45,450.35,405.97,435.43,378.24,409.18,361.06,388.41,403.21,412.55,404.72,424.85,412.37,424.24,380.55,435.51,382.8,432.11,385.54,440.76,380.66,385.05,357.12,368.09,377.58,360.49,360.03,406.24,341.96,388.62,344.07,410.68,339.42,372.9,304.53,381.34,245.71,376.33
labeled-data,Blender,Frame112.png,401.47,461.06,400.46,424.45,364.03,447.98,387.85,442.6,375.42,411.19,360.94,388.8,398.36,418.84,388.91,419.31,396.32,421.08,375.19,429.86,389.83,430.14,392.62,438.77,381.0,377.82,354.69,365.29,374.83,356.8,354.11,405.69,337.05,382.35,340.22,404.32,339.22,373.09,304.99,384.28,251.73,412.9
labeled-data,Blender,Frame113.png,401.49,444.21,396.54,405.54,361.98,431.31,386.14,425.58,373.07,405.48,359.54,386.44,390.16,399.16,384.92,408.98,392.4,410.46,362.99,419.34,376.91,426.09,379.93,434.67,380.29,386.93,360.68,374.42,380.35,364.82,354.27,405.35,336.35,382.45,339.72,404.39,338.98,371.48,304.9,382.8,251.79,411.51
labeled-data,Blender,Frame114.png,401.05,436.37,397.19,410.66,364.97,438.19,386.14,425.58,370.62,404.77,358.83,385.97,390.25,400.34,385.61,410.32,393.11,411.5,363.91,420.14,377.72,426.82,380.57,435.46,381.94,379.32,366.83,383.94,388.43,380.83,351.41,407.15,343.49,393.11,352.59,413.32,341.31,373.54,308.8,388.07,265.03,426.09
